comparison	relatedness	1:max_ibd	2:max_ibd	3:max_ibd	4:max_ibd	5:max_ibd	6:max_ibd	7:max_ibd	8:max_ibd	9:max_ibd	10:max_ibd	11:max_ibd	12:max_ibd	13:max_ibd	14:max_ibd	1:n_ibd	2:n_ibd	3:n_ibd	4:n_ibd	5:n_ibd	6:n_ibd	7:n_ibd	8:n_ibd	9:n_ibd	10:n_ibd	11:n_ibd	12:n_ibd	13:n_ibd	14:n_ibd
FG0169:FG0438	0.617	2	2	1	1	1	1	2	2	1	1	1	2	3	1	0.617	0.576	0.235	0.113	0.592	1.0	0.383	0.197	0.381	1.0	0.872	0.553	0.381	0.503
FG0169:FG0444	0.585	2	1	1	1	2	1	1	1	1	1	1	1	3	2	0.516	0.576	0.409	0.717	0.408	1.0	0.296	0.777	0.381	0.93	0.77	0.485	0.138	0.405
FG0169:FG0447	0.48	2	1	1	1	1	1	1	1	2	1	2	2	2	0	0.506	0.116	0.591	0.717	0.592	1.0	0.296	0.777	0.363	0.73	0.221	0.628	0.138	0.0
FG0169:FG0467	0.55	1	1	2	2	1	1	2	2	2	1	1	1	3	2	0.383	0.576	0.232	0.206	0.592	1.0	0.434	0.133	0.255	0.075	0.209	0.863	0.381	0.405
FG0169:FG0474	0.615	1	2	1	2	1	1	2	3	2	1	2	2	4	2	0.617	0.58	0.409	0.448	0.258	0.171	0.516	0.392	0.381	1.0	0.333	0.526	0.223	0.354
FG0169:FG0477	0.513	1	1	1	0	1	1	1	2	3	2	1	1	2	2	0.617	0.396	0.409	0.0	0.162	1.0	0.606	0.355	0.257	0.554	0.827	0.328	0.175	0.336
FG0169:FG0478	0.435	1	1	1	2	1	0	1	2	2	2	1	1	4	2	0.383	0.576	0.409	0.717	0.592	0.0	0.296	0.09	0.255	0.494	0.785	0.49	0.138	0.101
FG0169:FG0479	0.502	1	1	1	1	1	1	2	2	1	2	1	1	1	2	0.383	0.337	0.409	1.0	1.0	0.432	0.479	0.271	0.381	0.508	0.567	0.135	0.673	0.128
FG0169:FG0485	0.401	1	2	1	1	3	1	1	2	1	1	1	1	3	2	0.078	0.424	0.409	0.119	0.441	0.155	0.296	0.726	0.363	0.185	0.529	0.062	0.248	0.336
FG0169:FG0487	0.409	1	1	1	1	1	2	1	3	1	2	1	1	2	2	0.311	0.481	0.591	0.283	0.408	0.601	0.212	0.302	0.053	0.371	0.469	0.109	0.175	0.336
