comparison	relatedness	1:max_ibd	2:max_ibd	3:max_ibd	4:max_ibd	5:max_ibd	6:max_ibd	7:max_ibd	8:max_ibd	9:max_ibd	10:max_ibd	11:max_ibd	12:max_ibd	13:max_ibd	14:max_ibd	1:n_ibd	2:n_ibd	3:n_ibd	4:n_ibd	5:n_ibd	6:n_ibd	7:n_ibd	8:n_ibd	9:n_ibd	10:n_ibd	11:n_ibd	12:n_ibd	13:n_ibd	14:n_ibd
DE018N0:DE216C0	0.588	1	1	1	2	2	3	1	2	1	0	2	1	3	2	0.548	0.101	0.925	0.727	0.265	0.278	0.814	0.362	0.864	0.0	0.395	0.727	0.23	0.569
DE018N0:DE221C0	0.529	1	2	2	1	2	2	1	2	3	1	2	3	2	3	0.218	0.453	0.265	0.108	0.296	0.412	0.694	0.42	0.128	0.765	0.604	0.328	0.262	0.146
DE018N0:DE233C0	0.554	1	1	1	1	2	2	2	2	2	1	2	1	2	2	0.782	0.251	0.164	0.727	0.296	0.339	0.452	0.58	0.268	0.77	0.228	0.573	0.328	0.597
DE018N0:DE239C0	0.436	1	1	2	2	2	1	1	1	2	1	1	3	1	1	0.782	0.189	0.289	0.445	0.439	0.498	0.814	0.076	0.407	0.765	0.119	0.273	0.55	0.077
DE018N0:DE241C0	0.634	1	1	1	1	1	1	2	3	2	1	2	2	1	3	0.782	0.423	0.405	0.727	0.265	0.498	0.76	0.345	0.407	1.0	0.733	0.273	0.302	0.457
DE018N0:DE267C0	0.466	1	1	1	2	3	1	2	2	1	2	2	2	2	2	0.218	0.494	0.054	0.171	0.265	0.18	0.191	0.302	1.0	0.235	0.473	0.504	0.257	0.204
DE018N0:DE274C0	0.572	1	2	1	1	1	2	1	2	3	1	1	3	2	2	0.352	0.251	0.304	0.273	0.704	0.482	0.814	0.449	0.407	0.331	0.604	0.314	0.25	0.497
DE018N0:DE317C0	0.454	2	1	1	1	2	1	3	2	2	1	1	1	1	1	0.405	0.749	0.483	0.384	0.439	0.498	0.217	0.42	0.407	0.737	0.604	0.321	0.377	0.077
DE018N0:DE327C0	0.57	1	1	1	1	1	2	2	2	2	1	2	2	2	1	0.782	0.749	1.0	0.273	0.439	0.112	0.539	0.133	0.407	0.235	0.472	0.345	0.337	0.905
DE018N0:DE366C0	0.613	2	2	1	1	2	2	1	2	1	2	2	2	2	2	0.623	0.245	0.265	0.273	0.34	0.339	0.236	0.345	0.593	0.636	0.396	0.504	0.464	0.829
DE018N0:MKK2835.2G/	0.427	1	1	1	1	1	1	1	2	1	1	1	2	1	1	0.782	0.749	0.265	0.273	0.439	0.498	0.186	0.58	0.407	0.235	0.604	0.273	0.672	0.077
DE018N0:NHP1337.12C/	0.573	1	1	1	1	2	2	1	1	1	1	1	2	1	2	0.218	0.251	0.735	0.727	0.296	0.339	0.814	0.076	0.593	0.765	0.396	0.504	0.328	0.829
DE027N0:DE032N0	0.619	2	2	1	1	3	3	1	1	2	1	1	2	2	3	0.662	0.277	0.603	0.166	0.43	0.389	0.218	1.0	0.584	0.786	0.441	0.615	0.387	0.306
DE027N0:DE034N0	0.544	1	1	2	1	2	2	1	1	2	1	1	2	3	2	0.338	0.468	0.603	0.58	0.458	0.639	0.071	0.761	0.416	0.214	0.6	0.336	0.292	0.264
DE027N0:DE039N0	0.58	1	1	1	1	1	2	1	1	2	2	2	2	3	3	0.338	0.468	0.247	1.0	1.0	0.639	0.565	1.0	0.458	0.166	0.321	0.116	0.39	0.241
DE027N0:DE041N0	0.526	1	1	2	1	1	1	2	0	2	0	2	2	3	2	0.662	0.468	0.603	0.537	0.727	0.094	0.565	0.0	0.234	0.0	0.559	0.5	0.503	0.52
DE027N0:DE043N0	0.443	0	1	2	1	1	1	1	2	2	1	1	2	1	2	0.0	0.723	0.138	0.102	1.0	0.267	0.16	0.239	0.458	0.214	0.15	0.468	0.74	0.241
