comparison	relatedness	1:max_ibd	2:max_ibd	3:max_ibd	4:max_ibd	5:max_ibd	6:max_ibd	7:max_ibd	8:max_ibd	9:max_ibd	10:max_ibd	11:max_ibd	12:max_ibd	13:max_ibd	14:max_ibd	1:n_ibd	2:n_ibd	3:n_ibd	4:n_ibd	5:n_ibd	6:n_ibd	7:n_ibd	8:n_ibd	9:n_ibd	10:n_ibd	11:n_ibd	12:n_ibd	13:n_ibd	14:n_ibd
HI0142.F2:HI0196.F2	0.676	1	1	1	1	1	1	1	1	1	2	2	1	2	1	0.179	0.542	1.0	0.13	1.0	1.0	0.754	1.0	1.0	0.513	0.519	0.486	0.358	0.563
HI0142.F2:HI0197.F2	0.57	2	2	1	1	1	2	1	1	1	1	1	1	2	1	0.634	0.331	0.172	0.13	1.0	0.243	0.817	1.0	1.0	0.805	0.519	0.545	0.528	0.138
HI0142.F2:HI0198.F2	0.431	2	2	2	1	0	1	1	1	1	2	3	1	2	2	0.634	0.331	0.487	0.13	0.0	0.174	0.568	0.721	0.866	0.454	0.3	0.08	0.114	0.361
HI0142.F2:HI0199.F2	0.447	1	2	1	2	1	2	1	1	0	2	1	1	2	3	0.489	0.539	0.62	0.359	0.175	0.313	0.817	1.0	0.0	0.25	0.519	0.162	0.114	0.288
HI0142.F2:HI0200.F2	0.574	2	2	1	1	1	0	1	3	1	2	2	2	2	3	0.179	0.284	0.463	0.789	1.0	0.0	1.0	0.09	0.385	0.711	0.22	0.711	0.528	0.138
HI0142.F2:HI0203.F2	0.658	2	2	1	1	1	1	2	1	2	2	2	2	2	2	0.634	0.284	0.719	0.181	0.663	0.418	0.499	0.542	0.628	0.711	0.315	0.615	0.528	0.383
HI0142.F2:HI0206.F2	0.438	2	2	0	1	2	1	1	0	0	2	1	1	4	2	0.543	0.458	0.0	0.87	0.098	0.504	0.169	0.0	0.0	0.527	0.481	0.915	0.277	0.138
HI0142.F2:HI0207.F2	0.708	2	3	2	2	1	1	1	3	1	2	1	1	3	4	0.634	0.458	0.485	0.301	0.55	0.827	0.633	0.358	1.0	0.527	0.519	1.0	0.528	0.148
HI0142.F2:HI0208.F2	0.662	2	2	1	1	2	1	2	3	1	3	2	3	2	3	0.634	0.458	1.0	0.13	0.375	1.0	0.582	0.245	0.65	0.363	0.226	0.198	0.528	0.31
HI0142.F2:HI0211.F2	0.566	2	2	1	2	1	1	2	1	1	2	1	1	3	2	0.634	0.284	0.33	0.409	1.0	0.442	0.506	0.667	0.803	0.094	0.365	1.0	0.428	0.214
HI0142.F2:HI0213.F2	0.581	2	2	2	1	1	0	1	3	1	2	2	1	2	1	0.634	0.458	0.52	0.13	0.236	0.0	1.0	0.57	1.0	0.711	0.378	0.837	0.528	0.092
HI0142.F2:HI0215.F2	0.467	2	2	1	2	1	2	1	1	1	2	1	1	2	1	0.634	0.331	0.72	0.13	0.531	0.249	0.157	0.721	0.866	0.559	0.452	0.094	0.306	0.372
HI0142.F2:HI0216.F2	0.488	1	2	1	1	0	1	2	2	1	2	3	2	1	2	0.179	0.25	0.35	0.856	0.0	0.588	0.257	0.606	0.583	0.347	0.416	0.516	0.203	0.211
HI0142.F2:HI0225.F2	0.696	2	1	1	1	0	2	1	2	1	3	1	2	3	2	0.634	0.257	1.0	0.13	0.0	0.467	1.0	0.721	1.0	0.454	0.519	0.779	0.528	0.731
HI0142.F2:HI0227.F2	0.592	1	2	1	1	0	1	2	1	1	2	2	1	2	4	0.179	0.284	1.0	0.13	0.0	1.0	0.371	0.271	0.787	0.347	0.519	0.868	0.463	0.268
HI0142.F2:HI0230.F2	0.742	2	2	3	1	2	1	2	1	1	2	1	2	3	2	0.634	0.284	0.468	0.13	0.801	0.568	0.566	0.75	1.0	0.711	1.0	0.221	0.358	0.653
HI0142.F2:HI0232.F2	0.433	2	2	1	1	1	2	1	3	1	1	3	2	1	1	0.522	0.102	0.189	0.13	0.375	0.349	0.464	0.322	0.783	0.527	0.241	0.318	0.388	0.138
HI0142.F2:HI0239.F2	0.61	2	2	1	1	1	1	1	2	1	2	1	1	2	2	0.634	0.331	0.583	0.13	0.24	0.4	0.766	0.721	1.0	0.805	0.519	0.08	0.528	0.397
HI0142.F2:HI0241.F2	0.349	2	2	1	2	2	0	1	2	0	2	2	1	2	0	0.64	0.284	1.0	0.359	0.285	0.0	0.125	0.281	0.0	0.143	0.17	1.0	0.274	0.0
HI0142.F2:HI0242.F2	0.546	1	3	1	1	1	1	1	2	1	1	1	3	3	2	0.179	0.177	0.921	0.13	0.865	0.873	1.0	0.263	1.0	0.805	0.169	0.317	0.206	0.138
HI0142.F2:HI0246.F2	0.682	2	2	2	1	1	1	2	1	1	2	1	1	2	3	0.634	0.461	0.113	0.23	1.0	0.675	0.575	0.249	1.0	0.375	1.0	0.391	0.528	0.448
HI0142.F2:HI0251.F2	0.655	1	1	1	1	2	1	1	1	2	2	1	1	2	2	0.634	0.257	0.568	0.13	0.559	0.681	0.745	0.65	0.391	0.711	0.775	0.321	0.528	0.589
