comparison	relatedness	1:max_ibd	2:max_ibd	3:max_ibd	4:max_ibd	5:max_ibd	6:max_ibd	7:max_ibd	8:max_ibd	9:max_ibd	10:max_ibd	11:max_ibd	12:max_ibd	13:max_ibd	14:max_ibd	1:n_ibd	2:n_ibd	3:n_ibd	4:n_ibd	5:n_ibd	6:n_ibd	7:n_ibd	8:n_ibd	9:n_ibd	10:n_ibd	11:n_ibd	12:n_ibd	13:n_ibd	14:n_ibd
AB232.albumax.Control:AC062N2.serum.Control	0.541	0	2	1	1	2	2	1	2	2	1	1	1	2	4	0.0	0.494	1.0	0.224	0.625	0.397	0.235	0.49	0.325	0.608	0.46	0.55	0.367	0.204
AB232.albumax.Control:AC107N1.albumax.Control	0.512	0	2	1	1	3	1	1	1	1	2	3	2	1	3	0.0	0.331	0.354	0.658	0.271	0.397	0.235	1.0	0.616	0.616	0.384	0.244	0.17	0.316
AB232.albumax.Control:ND2D4.albumax.Control	0.472	1	1	1	1	2	2	2	2	1	2	2	2	1	3	0.508	0.506	0.361	0.128	0.343	0.397	0.235	0.49	0.058	0.303	0.46	0.223	0.576	0.316
AB232.albumax.Control:ND51A.albumax.Control	0.473	0	2	2	1	1	1	1	2	1	1	1	1	2	3	0.0	0.413	0.452	0.087	0.375	1.0	0.235	0.51	0.536	0.886	0.197	0.338	0.386	0.212
AB232.albumax.Control:ND5A6.albumax.Control	0.476	1	1	1	1	2	1	1	2	2	1	2	2	2	3	1.0	0.506	0.136	0.342	0.235	0.397	0.078	0.49	0.525	0.114	0.127	0.55	0.317	0.275
AB232.albumax.Control:ND5B12.albumax.Control	0.43	1	1	0	1	3	2	1	1	2	1	2	2	3	3	1.0	0.494	0.0	0.392	0.25	0.442	0.235	0.49	0.254	0.114	0.46	0.165	0.228	0.156
AB232.albumax.Control:ND5B3.albumax.Control	0.499	1	2	1	2	1	3	1	2	2	2	1	1	2	5	0.264	0.395	0.293	0.172	0.375	0.325	0.235	0.51	0.607	0.231	0.775	0.055	0.743	0.209
AB232.albumax.Control:ND5B8.albumax.Control	0.48	0	1	1	2	1	2	1	2	1	3	1	1	2	3	0.0	0.494	0.211	0.283	0.17	0.455	0.235	0.49	0.616	0.39	0.333	0.55	0.257	0.316
AB232.albumax.Control:ND5E11.albumax.Control	0.499	1	1	0	1	1	3	1	1	2	2	3	1	3	2	0.389	0.506	0.0	0.342	0.505	0.335	0.235	0.49	0.347	0.202	0.29	0.229	0.324	0.36
AB232.albumax.Control:ND5F11.albumax.Control	0.397	1	1	1	3	3	2	2	1	2	2	2	1	0	3	0.277	0.167	0.113	0.342	0.267	0.603	0.235	0.127	0.325	0.513	0.46	0.545	0.0	0.135
AB232.albumax.Control:ND5F4.albumax.Control	0.44	1	2	0	1	1	2	0	1	2	3	2	3	1	3	1.0	0.506	0.0	0.342	1.0	0.603	0.0	1.0	0.325	0.348	0.171	0.183	0.075	0.239
AB232.albumax.Control:ND6A7.albumax.Control	0.527	1	1	1	1	1	2	2	1	2	3	2	1	1	3	0.457	0.506	0.542	0.325	0.625	0.397	0.235	0.161	0.567	0.247	0.262	0.55	0.324	0.37
AB232.albumax.Control:ND6B12.albumax.Control	0.415	1	1	1	1	1	1	1	2	2	2	1	1	1	3	1.0	0.217	0.628	0.658	0.076	0.397	0.235	0.51	0.316	0.573	0.346	0.403	0.181	0.209
AB232.albumax.Control:ND6C10.albumax.Control	0.41	0	1	1	2	1	2	1	2	2	1	1	2	1	3	0.0	0.148	0.62	0.342	0.401	0.174	0.235	0.49	0.171	0.886	0.066	0.55	0.257	0.316
AB232.albumax.Control:ND6D10.albumax.Control	0.433	0	3	0	2	2	1	1	1	2	2	1	1	2	3	0.0	0.298	0.0	0.592	0.239	0.405	0.235	0.51	0.212	0.55	0.079	0.55	0.257	0.223
AB232.albumax.Control:ND6E3.albumax.Control	0.379	0	1	0	0	1	1	1	2	3	1	2	2	1	2	0.0	0.494	0.0	0.0	0.375	0.474	0.235	0.45	0.204	0.114	0.46	0.415	0.155	0.316
AB232.albumax.Control:ND6E6.albumax.Control	0.455	0	2	1	1	2	2	1	1	1	2	1	2	1	3	0.0	0.366	1.0	0.23	0.375	0.397	0.765	0.374	0.114	0.765	0.46	0.091	0.13	0.36
AB232.albumax.Control:ND6G1.albumax.Control	0.455	1	1	2	2	2	1	1	1	2	2	1	1	2	3	0.58	1.0	0.325	0.186	0.455	0.299	0.235	0.49	0.308	0.509	0.486	0.55	0.257	0.146
AB232.albumax.Control:ND6G8.albumax.Control	0.49	1	1	0	1	1	1	3	1	1	3	1	1	2	3	1.0	0.506	0.0	0.342	0.467	0.397	0.235	0.49	0.616	0.26	0.46	0.625	0.277	0.316
AB232.albumax.Control:ND6H1.albumax.Control	0.396	1	1	0	1	1	2	1	1	1	2	2	2	4	3	0.366	0.506	0.0	0.278	0.536	0.423	0.235	0.49	0.616	0.272	0.135	0.329	0.141	0.316
AB232.albumax.Control:ND6H4.albumax.Control	0.518	1	1	1	2	1	2	1	1	2	1	2	2	0	4	1.0	0.506	0.925	0.658	0.625	0.603	0.148	0.51	0.149	0.057	0.46	0.433	0.0	0.216
AB232.albumax.Control:ND6H7.albumax.Control	0.436	1	1	1	2	3	2	2	1	1	2	1	1	2	3	1.0	1.0	0.258	0.171	0.181	0.482	0.235	0.193	0.058	0.226	0.392	0.263	0.278	0.29
AB232.albumax.Control:ND6H9.albumax.Control	0.53	1	1	1	1	2	2	2	2	1	2	2	3	2	2	1.0	0.506	0.38	0.342	0.207	0.397	0.198	0.377	0.616	0.821	0.54	0.385	0.251	0.316
AB232.albumax.Control:cross1.1B5.serum.Control	0.38	0	0	1	2	0	1	1	1	2	1	1	2	2	2	0.0	0.0	0.468	0.658	0.0	0.603	0.078	0.51	0.288	0.114	0.1	0.55	0.222	0.421
AB232.albumax.Control:cross1.1D1.serum.Control	0.497	0	2	1	1	1	1	0	2	2	2	1	2	3	4	0.0	0.195	0.897	0.658	0.375	0.397	0.0	0.358	0.235	0.835	0.54	0.147	0.465	0.316
AB232.albumax.Control:cross1.1E4.serum.Control	0.44	1	0	1	2	1	1	1	1	3	1	2	1	2	3	0.814	0.0	0.212	0.283	0.625	0.397	0.235	0.305	0.421	0.505	0.302	0.323	0.3	0.214
AB232.albumax.Control:cross1.2C6.3H.serum.Control	0.528	0	2	2	1	1	1	1	1	3	1	2	2	3	3	0.0	0.494	0.52	0.524	0.801	0.603	0.235	0.49	0.249	0.886	0.409	0.45	0.303	0.153
AB232.albumax.Control:cross1.2C8.serum.Control	0.384	1	1	1	1	2	1	1	1	1	2	1	2	1	2	1.0	0.494	0.128	0.161	0.481	0.397	0.235	0.834	0.616	0.114	0.245	0.254	0.158	0.275
AB232.albumax.Control:cross1.2F3.serum.Control	0.407	1	1	1	1	2	1	2	1	2	1	1	1	1	3	0.219	0.494	1.0	0.658	0.375	0.397	0.288	0.51	0.675	0.114	0.273	0.349	0.205	0.146
AB232.albumax.Control:cross1.3B4.P2.serum.Control	0.384	0	1	1	1	1	1	1	1	2	2	1	1	1	3	0.0	0.494	0.346	0.658	0.392	0.185	0.481	0.51	0.325	0.231	0.279	0.075	0.541	0.316
AB232.albumax.Control:cross1.3C6.3B.serum.Control	0.489	2	2	1	2	3	1	1	2	2	3	1	1	2	3	0.323	0.506	0.398	0.583	0.254	0.397	0.496	0.295	0.616	0.114	0.301	0.691	0.106	0.281
AB232.albumax.Control:cross1.nm.1B6.serum.Control	0.548	1	2	1	1	1	2	0	2	2	2	2	1	1	3	0.839	0.506	0.117	0.342	0.702	0.361	0.0	0.51	0.325	0.576	0.483	0.55	0.743	0.214
AB232.albumax.Control:cross1.nm.1D12.serum.Control	0.443	0	2	1	2	1	2	2	1	1	3	1	1	1	4	0.0	0.437	0.137	0.345	0.217	0.397	0.709	0.49	0.226	0.185	0.255	0.45	0.257	0.214
AB232.albumax.Control:cross1.nm.1H7.serum.Control	0.506	1	1	1	1	1	1	2	2	2	1	2	2	1	3	0.49	0.111	0.149	0.121	0.625	0.603	0.235	0.128	0.19	0.491	0.46	0.55	0.25	0.316
AB232.albumax.Control:cross1.nm.2B8.serum.Control	0.421	1	2	1	1	2	2	2	0	2	2	2	1	2	3	0.564	0.506	0.877	0.658	0.375	0.163	0.235	0.0	0.202	0.24	0.305	0.45	0.107	0.36
AB232.albumax.Control:cross1.nm.2F6.serum.Control	0.444	1	2	1	1	1	3	1	1	1	3	3	2	2	4	0.18	0.494	0.128	0.597	0.344	0.216	0.235	0.49	0.288	0.268	0.243	0.241	0.138	0.316
AB232.albumax.Control:cross1.nm.2H3.serum.Control	0.467	1	1	0	1	1	2	2	2	3	1	0	3	2	4	0.182	0.494	0.0	0.214	0.418	0.397	0.715	0.302	0.092	0.886	0.0	0.298	0.203	0.243
AB232.albumax.Control:cross1.nm.3E10.serum.Control	0.539	1	1	1	1	1	2	2	2	2	2	2	2	2	4	0.443	0.506	0.927	0.658	0.332	0.397	0.235	0.178	0.325	0.221	0.46	0.45	0.121	0.37
AB232.albumax.Control:cross1.nm.3E8.serum.Control	0.52	1	1	1	1	1	1	2	1	1	1	1	2	3	2	1.0	0.506	0.237	0.342	0.131	1.0	0.235	0.51	0.616	0.441	0.22	0.503	0.257	0.36
AB232.albumax.Control:cross1.nm.3F9.serum.Control	0.5	1	2	0	2	1	2	1	1	1	1	2	2	3	3	0.537	0.506	0.0	0.342	0.177	0.153	0.53	0.51	0.616	0.114	0.46	0.45	0.284	0.316
AB235.albumax.Control:AB236.albumax.Control	0.438	1	0	1	2	1	0	1	1	1	2	1	1	2	4	1.0	0.0	0.342	0.271	0.679	0.0	1.0	0.705	0.239	0.311	0.507	0.084	0.464	0.136
AB235.albumax.Control:AB237.albumax.Control	0.595	1	1	1	1	2	1	1	1	2	1	1	1	2	3	0.49	0.572	0.658	0.527	0.5	0.265	0.754	0.697	0.572	0.692	0.362	1.0	0.137	0.269
AB235.albumax.Control:AB238.albumax.Control	0.583	1	1	1	1	2	2	1	1	1	2	2	2	3	3	0.49	0.274	0.658	0.784	0.437	0.518	0.863	0.579	0.162	0.308	0.362	0.767	0.231	0.303
AB235.albumax.Control:AB239.albumax.Control	0.604	1	1	1	1	0	1	1	1	1	2	2	1	3	4	0.51	0.711	0.658	0.266	0.0	0.735	1.0	1.0	0.755	0.211	0.131	0.731	0.428	0.264
AB235.albumax.Control:AB241.albumax.Control	0.631	1	0	1	1	0	1	1	2	1	1	2	2	2	3	1.0	0.0	0.425	1.0	0.0	1.0	1.0	0.612	0.838	0.692	0.402	0.555	0.133	0.269
